id,timestamp,seq_number,data,timestamp_received,time_delay
122,2017-10-30 12:49:50,0,x,2017-10-30 12:51:26,00:01:36
123,2017-10-30 12:49:51,1,x,2017-10-30 12:51:26,00:01:35
124,2017-10-30 12:49:52,2,x,2017-10-30 12:51:26,00:01:34
125,2017-10-30 12:49:53,3,x,2017-10-30 12:51:26,00:01:33
126,2017-10-30 12:49:54,4,x,2017-10-30 12:51:26,00:01:32
127,2017-10-30 12:49:55,5,x,2017-10-30 12:51:28,00:01:33
128,2017-10-30 12:49:56,6,x,2017-10-30 12:51:28,00:01:32
129,2017-10-30 12:49:57,7,x,2017-10-30 12:51:33,00:01:36
130,2017-10-30 12:50:00,8,x,2017-10-30 12:51:33,00:01:33
131,2017-10-30 12:50:03,9,x,2017-10-30 12:51:34,00:01:31
132,2017-10-30 12:49:55,5,x,2017-10-30 12:51:37,00:01:42
133,2017-10-30 12:49:56,6,x,2017-10-30 12:51:38,00:01:42
134,2017-10-30 12:49:57,7,x,2017-10-30 12:51:38,00:01:41
135,2017-10-30 12:50:00,8,x,2017-10-30 12:51:38,00:01:38
136,2017-10-30 12:50:03,9,x,2017-10-30 12:51:38,00:01:35
137,2017-10-30 12:50:04,10,x,2017-10-30 12:51:40,00:01:36
138,2017-10-30 12:50:05,11,x,2017-10-30 12:51:41,00:01:36
139,2017-10-30 12:50:06,12,x,2017-10-30 12:51:41,00:01:35
140,2017-10-30 12:50:07,13,x,2017-10-30 12:51:41,00:01:34
141,2017-10-30 12:50:08,14,x,2017-10-30 12:51:41,00:01:33
142,2017-10-30 12:50:09,15,x,2017-10-30 12:51:43,00:01:34
143,2017-10-30 12:50:10,16,x,2017-10-30 12:51:43,00:01:33
144,2017-10-30 12:50:12,17,x,2017-10-30 12:51:43,00:01:31
145,2017-10-30 12:50:13,18,x,2017-10-30 12:51:43,00:01:30
146,2017-10-30 12:50:14,19,x,2017-10-30 12:51:43,00:01:29
147,2017-10-30 12:50:15,20,x,2017-10-30 12:51:45,00:01:30
148,2017-10-30 12:50:16,21,x,2017-10-30 12:51:45,00:01:29
149,2017-10-30 12:50:17,22,x,2017-10-30 12:51:45,00:01:28
150,2017-10-30 12:50:18,23,x,2017-10-30 12:51:45,00:01:27
151,2017-10-30 12:50:19,24,x,2017-10-30 12:51:45,00:01:26
152,2017-10-30 12:50:20,25,x,2017-10-30 12:51:47,00:01:27
153,2017-10-30 12:50:21,26,x,2017-10-30 12:51:47,00:01:26
154,2017-10-30 12:50:25,27,x,2017-10-30 12:51:47,00:01:22
155,2017-10-30 12:50:29,28,x,2017-10-30 12:51:47,00:01:18
156,2017-10-30 12:50:32,29,x,2017-10-30 12:51:47,00:01:15
157,2017-10-30 12:50:20,25,x,2017-10-30 12:51:49,00:01:29
158,2017-10-30 12:50:21,26,x,2017-10-30 12:51:51,00:01:30
159,2017-10-30 12:50:25,27,x,2017-10-30 12:51:52,00:01:27
160,2017-10-30 12:50:29,28,x,2017-10-30 12:51:52,00:01:23
161,2017-10-30 12:50:32,29,x,2017-10-30 12:51:52,00:01:20
162,2017-10-30 12:50:20,25,x,2017-10-30 12:51:54,00:01:34
163,2017-10-30 12:50:21,26,x,2017-10-30 12:51:54,00:01:33
164,2017-10-30 12:50:25,27,x,2017-10-30 12:51:54,00:01:29
165,2017-10-30 12:50:29,28,x,2017-10-30 12:51:54,00:01:25
166,2017-10-30 12:50:32,29,x,2017-10-30 12:51:54,00:01:22
167,2017-10-30 12:52:55,130,x,2017-10-30 12:54:16,00:01:21
168,2017-10-30 12:52:58,131,x,2017-10-30 12:54:16,00:01:18
169,2017-10-30 12:53:00,132,x,2017-10-30 12:54:16,00:01:16
170,2017-10-30 12:53:01,133,x,2017-10-30 12:54:16,00:01:15
171,2017-10-30 12:53:02,134,x,2017-10-30 12:54:16,00:01:14
172,2017-10-30 12:53:04,135,x,2017-10-30 12:54:18,00:01:14
173,2017-10-30 12:53:05,136,x,2017-10-30 12:54:20,00:01:15
174,2017-10-30 12:53:06,137,x,2017-10-30 12:54:22,00:01:16
175,2017-10-30 12:53:07,138,x,2017-10-30 12:54:22,00:01:15
176,2017-10-30 12:53:08,139,x,2017-10-30 12:54:22,00:01:14
177,2017-10-30 12:53:04,135,x,2017-10-30 12:54:25,00:01:21
178,2017-10-30 12:53:05,136,x,2017-10-30 12:54:27,00:01:22
179,2017-10-30 12:53:06,137,x,2017-10-30 12:54:27,00:01:21
180,2017-10-30 12:53:07,138,x,2017-10-30 12:54:27,00:01:20
181,2017-10-30 12:53:08,139,x,2017-10-30 12:54:27,00:01:19
182,2017-10-30 12:53:09,140,x,2017-10-30 12:54:30,00:01:21
183,2017-10-30 12:53:10,141,x,2017-10-30 12:54:30,00:01:20
184,2017-10-30 12:53:11,142,x,2017-10-30 12:54:30,00:01:19
185,2017-10-30 12:53:12,143,x,2017-10-30 12:54:30,00:01:18
186,2017-10-30 12:53:13,144,x,2017-10-30 12:54:30,00:01:17
187,2017-10-30 12:53:09,140,x,2017-10-30 12:54:32,00:01:23
188,2017-10-30 12:53:10,141,x,2017-10-30 12:54:32,00:01:22
189,2017-10-30 12:53:11,142,x,2017-10-30 12:54:32,00:01:21
190,2017-10-30 12:53:12,143,x,2017-10-30 12:54:32,00:01:20
191,2017-10-30 12:53:13,144,x,2017-10-30 12:54:32,00:01:19
192,2017-10-30 12:53:14,145,x,2017-10-30 12:54:34,00:01:20
193,2017-10-30 12:53:15,146,x,2017-10-30 12:54:36,00:01:21
194,2017-10-30 12:53:16,147,x,2017-10-30 12:54:37,00:01:21
195,2017-10-30 12:53:17,148,x,2017-10-30 12:54:39,00:01:22
196,2017-10-30 12:53:18,149,x,2017-10-30 12:54:39,00:01:21
197,2017-10-30 12:53:14,145,x,2017-10-30 12:54:41,00:01:27
198,2017-10-30 12:53:15,146,x,2017-10-30 12:54:41,00:01:26
199,2017-10-30 12:53:16,147,x,2017-10-30 12:54:42,00:01:26
200,2017-10-30 12:53:17,148,x,2017-10-30 12:54:42,00:01:25
201,2017-10-30 12:53:18,149,x,2017-10-30 12:54:42,00:01:24
202,2017-10-30 12:53:14,145,x,2017-10-30 12:54:44,00:01:30
203,2017-10-30 12:53:15,146,x,2017-10-30 12:54:47,00:01:32
204,2017-10-30 12:53:16,147,x,2017-10-30 12:54:47,00:01:31
205,2017-10-30 12:53:17,148,x,2017-10-30 12:54:47,00:01:30
206,2017-10-30 12:53:18,149,x,2017-10-30 12:54:47,00:01:29
207,2017-10-30 12:53:19,150,x,2017-10-30 12:54:49,00:01:30
208,2017-10-30 12:53:20,151,x,2017-10-30 12:54:51,00:01:31
209,2017-10-30 12:53:21,152,x,2017-10-30 12:54:53,00:01:32
210,2017-10-30 12:53:22,153,x,2017-10-30 12:54:53,00:01:31
211,2017-10-30 12:53:23,154,x,2017-10-30 12:54:53,00:01:30
212,2017-10-30 12:53:19,150,x,2017-10-30 12:54:55,00:01:36
213,2017-10-30 12:53:20,151,x,2017-10-30 12:54:56,00:01:36
214,2017-10-30 12:53:21,152,x,2017-10-30 12:54:57,00:01:36
215,2017-10-30 12:53:22,153,x,2017-10-30 12:54:57,00:01:35
216,2017-10-30 12:53:23,154,x,2017-10-30 12:54:58,00:01:35
217,2017-10-30 12:53:28,155,x,2017-10-30 12:57:04,00:03:36
218,2017-10-30 12:53:31,156,x,2017-10-30 12:57:04,00:03:33
219,2017-10-30 12:53:32,157,x,2017-10-30 12:57:04,00:03:32
220,2017-10-30 12:53:33,158,x,2017-10-30 12:57:04,00:03:31
221,2017-10-30 12:53:34,159,x,2017-10-30 12:57:04,00:03:30
222,2017-10-30 12:53:35,160,x,2017-10-30 12:57:06,00:03:31
223,2017-10-30 12:53:37,161,x,2017-10-30 12:57:07,00:03:30
224,2017-10-30 12:53:38,162,x,2017-10-30 12:57:08,00:03:30
225,2017-10-30 12:53:39,163,x,2017-10-30 12:57:08,00:03:29
226,2017-10-30 12:53:40,164,x,2017-10-30 12:57:08,00:03:28
227,2017-10-30 12:53:41,165,x,2017-10-30 12:57:10,00:03:29
228,2017-10-30 12:53:42,166,x,2017-10-30 12:57:11,00:03:29
229,2017-10-30 12:53:43,167,x,2017-10-30 12:57:11,00:03:28
230,2017-10-30 12:53:44,168,x,2017-10-30 12:57:11,00:03:27
231,2017-10-30 12:53:45,169,x,2017-10-30 12:57:11,00:03:26
232,2017-10-30 12:53:41,165,x,2017-10-30 12:57:13,00:03:32
233,2017-10-30 12:53:42,166,x,2017-10-30 12:57:15,00:03:33
234,2017-10-30 12:53:43,167,x,2017-10-30 12:57:16,00:03:33
235,2017-10-30 12:53:44,168,x,2017-10-30 12:57:16,00:03:32
236,2017-10-30 12:53:45,169,x,2017-10-30 12:57:16,00:03:31
237,2017-10-30 12:53:41,165,x,2017-10-30 12:57:18,00:03:37
